variant,batch_index,source_index,objective,parameter_group,pair,cosine,left_norm,right_norm,left_targets,right_targets,left_loss,right_loss
full_control,5,22,total,shared_predictors,medium-large,0.9852121472358704,82.12528228759766,3274.1865234375,30,1,24.15738344192505,684.3798110485077
full_control,5,22,total,deep_backbone,small-medium,-0.27191656827926636,15.132661819458008,194.18763732910156,289,30,16.1480450630188,24.15738344192505
full_control,5,22,total,deep_backbone,small-large,-0.17341597378253937,15.132661819458008,8045.02734375,289,1,16.1480450630188,684.3798110485077
full_control,5,22,total,deep_backbone,medium-large,0.9688655138015747,194.18763732910156,8045.02734375,30,1,24.15738344192505,684.3798110485077
full_control,5,22,total,neck,small-medium,-0.3046814799308777,12.441462516784668,198.49644470214844,289,30,16.1480450630188,24.15738344192505
full_control,5,22,total,neck,small-large,-0.216413676738739,12.441462516784668,8252.0869140625,289,1,16.1480450630188,684.3798110485077
full_control,5,22,total,neck,medium-large,0.977523922920227,198.49644470214844,8252.0869140625,30,1,24.15738344192505,684.3798110485077
full_control,6,23,localization,shared_features,small-medium,0.22473686933517456,4.084263801574707,5.982652187347412,247,20,15.687613010406494,21.670063257217407
full_control,6,23,localization,shared_features,small-large,0.060586050152778625,4.084263801574707,44.66146469116211,247,1,15.687613010406494,951.9425010681152
full_control,6,23,localization,shared_features,medium-large,0.06587734818458557,5.982652187347412,44.66146469116211,20,1,21.670063257217407,951.9425010681152
full_control,6,23,localization,shared_predictors,small-medium,0.025253992527723312,3.1513452529907227,3.7365376949310303,247,20,15.687613010406494,21.670063257217407
full_control,6,23,localization,shared_predictors,small-large,-0.08142965286970139,3.1513452529907227,34.08761978149414,247,1,15.687613010406494,951.9425010681152
full_control,6,23,localization,shared_predictors,medium-large,0.08899515122175217,3.7365376949310303,34.08761978149414,20,1,21.670063257217407,951.9425010681152
full_control,6,23,localization,deep_backbone,small-medium,0.2025292068719864,9.379840850830078,8.694174766540527,247,20,15.687613010406494,21.670063257217407
full_control,6,23,localization,deep_backbone,small-large,0.15586400032043457,9.379840850830078,402.28399658203125,247,1,15.687613010406494,951.9425010681152
full_control,6,23,localization,deep_backbone,medium-large,0.1933308243751526,8.694174766540527,402.28399658203125,20,1,21.670063257217407,951.9425010681152
full_control,6,23,localization,neck,small-medium,0.04645036906003952,7.519140720367432,10.67226505279541,247,20,15.687613010406494,21.670063257217407
full_control,6,23,localization,neck,small-large,0.041328780353069305,7.519140720367432,227.56878662109375,247,1,15.687613010406494,951.9425010681152
full_control,6,23,localization,neck,medium-large,0.03167157247662544,10.67226505279541,227.56878662109375,20,1,21.670063257217407,951.9425010681152
full_control,6,23,total,shared_features,small-medium,0.04652702435851097,5.905477046966553,168.15171813964844,247,20,15.687613010406494,21.670063257217407
full_control,6,23,total,shared_features,small-large,0.11760211735963821,5.905477046966553,8538.025390625,247,1,15.687613010406494,951.9425010681152
full_control,6,23,total,shared_features,medium-large,0.990639328956604,168.15171813964844,8538.025390625,20,1,21.670063257217407,951.9425010681152
full_control,6,23,total,shared_predictors,small-medium,0.01996949315071106,4.291145324707031,73.00182342529297,247,20,15.687613010406494,21.670063257217407
full_control,6,23,total,shared_predictors,small-large,0.15223248302936554,4.291145324707031,3781.864990234375,247,1,15.687613010406494,951.9425010681152
full_control,6,23,total,shared_predictors,medium-large,0.9758908152580261,73.00182342529297,3781.864990234375,20,1,21.670063257217407,951.9425010681152
full_control,6,23,total,deep_backbone,small-medium,0.052752185612916946,11.374041557312012,161.49795532226562,247,20,15.687613010406494,21.670063257217407
full_control,6,23,total,deep_backbone,small-large,0.0697721317410469,11.374041557312012,8537.3408203125,247,1,15.687613010406494,951.9425010681152
